FIELD_MGT_NO,EQ_NM,FWK_FCLT_NM,TASK_NM,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,QR,date
3-3B1-M-SCB-10902,인버터 패널,인버터 패널,기계,기계그룹-기계사업소-기계-0041017,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하2층,09섹터,미분류,전기,수변전/배전,배전반/분전반/MCC,인버터판넬,,
3-3B3-M-AHU-34201,공기조화기,공기조화기,기계,기계그룹-기계사업소-기계-0041018,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,42섹터,미분류,기계,냉난방/공조,공조기 AHU,공기조화기,,
4-3B2-M-EXT-29301,팽창탱크(냉수용),팽창탱크(냉수용),기계,기계그룹-기계사업소-기계-0041019,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,93섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
4-3B2-M-EXT-29801,팽창탱크(냉동기),팽창탱크(냉동기),기계,기계그룹-기계사업소-기계-0041020,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,98섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
3-3B2-M-EXT-25101,팽창탱크(냉동기),팽창탱크(냉동기),기계,기계그룹-기계사업소-기계-0041021,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하1층,51섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
3-3B2-M-EXT-24101,팽창탱크(냉동기),팽창탱크(냉동기),기계,기계그룹-기계사업소-기계-0041022,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하1층,41섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
4-3B2-M-ETS-28201,팽창기수분리기(난방),팽창기수분리기(난방),기계,기계그룹-기계사업소-기계-0041023,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,82섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
4-3B2-M-ETS-27201,팽창기수분리기(난방),팽창기수분리기(난방),기계,기계그룹-기계사업소-기계-0041024,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,72섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
3-3B2-M-ETS-25101,팽창기수분리기(난방),팽창기수분리기(난방),기계,기계그룹-기계사업소-기계-0041025,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하1층,51섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
3-3B2-M-ETS-24101,팽창기수분리기(난방),팽창기수분리기(난방),기계,기계그룹-기계사업소-기계-0041026,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하1층,41섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
3-3B1-M-ETS-10801,팽창기수분리기(난방),팽창기수분리기(난방),기계,기계그룹-기계사업소-기계-0041027,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하2층,08섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
3-3B2-M-AHU-20401,인버터 패널,인버터 패널,기계,기계그룹-기계사업소-기계-0041028,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하1층,04섹터,미분류,전기,수변전/배전,배전반/분전반/MCC,인버터판넬,,
4-3B2-M-EXT-29302,팽창탱크(지열1차),팽창탱크(지열1차),기계,기계그룹-기계사업소-기계-0041032,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,93섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
4-3B2-M-EXT-29802,팽창탱크(지열1차),팽창탱크(지열1차),기계,기계그룹-기계사업소-기계-0041033,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,98섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
4-3B2-M-EXT-29303,팽창탱크(지열2차),팽창탱크(지열2차),기계,기계그룹-기계사업소-기계-0041034,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,93섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
4-3B2-M-PMP-29801-2,냉난방순환펌프(냉수_냉동기),냉난방순환펌프(냉수_냉동기),기계,기계그룹-기계사업소-기계-0041035,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,98섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
4-3B2-M-PMP-29801-3,냉난방순환펌프(냉수_냉동기),냉난방순환펌프(냉수_냉동기),기계,기계그룹-기계사업소-기계-0041036,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,98섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
3-3B1-M-PPU-10601-5,냉난방순환펌프(냉수_12HR),냉난방순환펌프(냉수_12HR),기계,기계그룹-기계사업소-기계-0041037,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하2층,06섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
3-3B1-M-PPU-10801-5,냉난방순환펌프(냉수_12HR),냉난방순환펌프(냉수_12HR),기계,기계그룹-기계사업소-기계-0041038,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하2층,08섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
3-3B1-M-PPU-10601-1,냉난방순환펌프(냉수_12HR),냉난방순환펌프(냉수_12HR),기계,기계그룹-기계사업소-기계-0041039,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하2층,06섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
3-3B1-M-PPU-10601-2,냉난방순환펌프(냉수_12HR),냉난방순환펌프(냉수_12HR),기계,기계그룹-기계사업소-기계-0041040,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하2층,06섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
3-3B1-M-PPU-10601-3,냉난방순환펌프(냉수_12HR),냉난방순환펌프(냉수_12HR),기계,기계그룹-기계사업소-기계-0041041,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하2층,06섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
3-3B1-M-PPU-10601-4,냉난방순환펌프(냉수_12HR),냉난방순환펌프(냉수_12HR),기계,기계그룹-기계사업소-기계-0041042,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하2층,06섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
3-3B6-C-DDC-62602,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041043,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상4층,26섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
3-3B6-C-DDC-62901,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041044,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상4층,29섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
3-3B6-C-DDC-62902,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041045,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상4층,29섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
3-3B6-C-DDC-63001,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041046,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상4층,30섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
3-3B6-C-DDC-63002,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041047,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상4층,30섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
