FIELD_MGT_NO,EQ_NM,EQ_NO,FWK_FCLT_NM,TASK_NM,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,QR,date
,화장실 B1-8-14  여,,화장실 B1-8-14  여,환경미화,기타-환경미화사업소-환경미화-0000418,탑승단지>제1터미널>교통센터구역,제1교통센터,지하1층,,B1-8-14  여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00010936,2009-01-01 6:42
,화장실 B3-7-15  장,,화장실 B3-7-15  장,환경미화,기타-환경미화사업소-환경미화-0000267,탑승단지>제1터미널>교통센터구역,제1교통센터,지하3층,,B3-7-15  장,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00010951,2009-01-01 6:31
,화장실 B1.5-0126 남 ,,화장실 B1.5-0126 남 ,환경미화,기타-환경미화사업소-환경미화-0000001,탑승단지>제2터미널지역>본관구역,제2교통센터,지하1.5층,,B1.5-0126 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00010985,2009-01-01 1:48
,화장실 B1-0617 남 ,,화장실 B1-0617 남 ,환경미화,기타-환경미화사업소-환경미화-0000585,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-0617 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00011325,2009-01-01 2:02
,화장실 R1008 여,,화장실 R1008 여,환경미화,기타-환경미화사업소-환경미화-0000284,탑승단지>탑승동지역>탑승구역,탑승동,1층,,R1008 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00011438,2009-01-01 4:07
,화장실 B1-1514 남 ,,화장실 B1-1514 남 ,환경미화,기타-환경미화사업소-환경미화-0000603,탑승단지>제2터미널지역>본관구역,제2교통센터,지하1층,,B1-1514 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00011624,2009-01-01 1:52
,화장실 1-7-12  여,,화장실 1-7-12  여,환경미화,기타-환경미화사업소-환경미화-0000445,탑승단지>제1터미널>교통센터구역,제1교통센터,1층,,1-7-12  여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00012303,2009-01-03 23:11
,화장실 B1-11-20  여,,화장실 B1-11-20  여,환경미화,기타-환경미화사업소-환경미화-0000451,탑승단지>제1터미널>교통센터구역,제1교통센터,지하1층,,B1-11-20  여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00012335,2009-01-01 6:16
,화장실 B1-10-20  남,,화장실 B1-10-20  남,환경미화,기타-환경미화사업소-환경미화-0000449,탑승단지>제1터미널>교통센터구역,제1교통센터,지하1층,,B1-10-20  남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00012772,2009-01-03 22:54
,화장실 5F-2902 여 ,,화장실 5F-2902 여 ,환경미화,기타-환경미화사업소-환경미화-0000511,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,5층,,5F-2902 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00012943,2009-01-01 5:15
,화장실 B1-1141 남 ,,화장실 B1-1141 남 ,환경미화,기타-환경미화사업소-환경미화-0000597,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-1141 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00013692,2009-01-01 1:31
