현장관리번호,EQ_NM_시설명칭,FWK_FCLT_NM_기능시설명,TASK_NM_과업,SOU_ID_임시시설번호,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,qrcode,qrcode 등록일시
4-3B3-M-FCU-37708-1,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003551,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37707,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003552,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37706-2,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003553,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37706-1,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003554,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37705-2,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003555,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
3-3H1-M-HCT-21401,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003556,외곽지역,제2교통센터,지하1층,14섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H1-M-HCT-21101,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003557,외곽지역,제2교통센터,지하1층,11섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H1-M-HCT-20801,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003558,외곽지역,제2교통센터,지하1층,08섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H1-M-HCT-11401,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003559,외곽지역,제2교통센터,지하2층,14섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H1-M-HCT-11201,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003560,외곽지역,제2교통센터,지하2층,12섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H1-M-HCT-10801,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003561,외곽지역,제2교통센터,지하2층,08섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H1-M-HCT-10701,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003562,외곽지역,제2교통센터,지하2층,07섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3B3-C-DDC-33301,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0003563,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,33섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
3-3B3-C-DDC-33302,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0003564,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,33섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
4-3B4-M-FCU-48701,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003565,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상2층,87섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B4-M-FCU-48601,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003566,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상2층,86섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
